username,star,time,content,img_url
风间隼,4,2019-03-07 21:12:33,没看过电视版，清新的神怪故事，有点像《虫师》。表面上有打斗也有悬疑，其实内核还是人与人之间的羁绊，以及对人生的感悟。中国文化其实也有这种氛围的，只可惜被过去一个世纪的战天斗地扫荡殆尽了。,https://img3.doubanio.com/icon/u2521825-70.jpg
雅斯科罗宁,3,2019-03-07 23:03:39,挺平淡的。我大致能感受到电影想表达的一些东西，就不够触动，插科打诨混时长多了点，情绪不积累。挺粉丝向的，作为SP是可以，单纯评一部剧情动漫来说，就是…平淡。娘口三三的戏份非常吃重，但这套傲娇吃货贱萌——我老爷们儿虽然也吸猫——却是不吃的。其他的几个常驻妖怪倒还挺有印象的，应该也是剧集里慢慢充实起来的。画面、音乐可以，日式一贯的那种治愈系。,https://img3.doubanio.com/icon/u1460460-81.jpg
LittleMonster,4,2019-03-07 22:40:21,给猫咪先生,https://img1.doubanio.com/icon/u53172476-7.jpg
纤纤,3,2019-03-08 09:01:13,夏目…这个名字都有点淡淡的忧伤…影片节奏很适合沉淀情绪。,https://img3.doubanio.com/icon/u158629236-1.jpg
胡二,4,2019-03-07 18:53:29,娘口三三大型卖萌现场。前面铺垫有点长，剧情偏散，治愈和温暖依旧。有了家人跟朋友陪伴的纳兹咩，还是一如既往温柔啊,https://img3.doubanio.com/icon/u11120634-56.jpg
牛佬,3,2019-03-07 16:25:03,前段时间太累，中午又喝了点小酒，看了一会就昏睡了过去，还久没在电影院睡觉了，真香。大概只看了前面十来分钟和最后二十多分钟，电影感挺弱的，没什么好说。,https://img3.doubanio.com/icon/u1410853-46.jpg
深深的蓝,5,2019-03-07 16:23:10,欢迎回来,https://img3.doubanio.com/icon/u43403636-6.jpg
羽子令,4,2019-03-08 16:13:48,三星半。没看过动画片，直接看剧场版的小白中途睡着了15分钟，猫老师一出场，后排就传来了笑声，get不到笑点。喜欢影片中人妖和平共存的境界，人也没有多坏，妖也没有多恶意，被惩罚的妖出于同情相伴失去儿子的母亲8年，让她度过了悲伤期，最终有关他的记忆却一并抹去，淡淡的忧伤盖过温情。夏目贵志的姥姥玲子很神秘，是个奇女子。,https://img3.doubanio.com/icon/u137169217-4.jpg

梦里诗书,4,2019-03-08 07:55:51,一如《夏目友人帐》的动画，剧场版的《夏目友人帐:结缘空蝉》仍旧是一部自带治愈属性，饱含温 情的作品，电影在浓缩动画原有精髓的同时，透过清新唯美的画风，以及细腻的情感勾勒，缓缓的带 领观众走进了少年夏目的内心，走进了这一人妖共存的世界。,https://img3.doubanio.com/icon/u57542378-10.jpg
尊漠,5,2019-03-07 21:17:50,2017年刚知道《夏目友人帐》要做剧场版，就在豆瓣上标记了想看，一年半的今天，终于在电影院如愿以偿。刚在电影院看完，让我再沉浸一会儿,https://img3.doubanio.com/icon/u53145042-1.jpg
自难忘,5,2019-03-07 14:20:05,还是偷偷红了眼眶啊lol,https://img1.doubanio.com/icon/u41621584-17.jpg
被动王,5,2019-03-07 20:06:02,或许我们一生流浪，为了寻找那一方可以停留下来的栖息之所吧。和你相逢的那些时光如此珍贵，如果记忆有消散的那天，会留下不知所以的泪水吧！ 【这次的妖怪太温柔，声优配音一出声就被击中了呢】,https://img3.doubanio.com/icon/u31070422-6.jpg
麦宝宝,1,2019-03-07 17:15:54,"还有五十分钟结束 看不下去
咦？我追加的评论呢？！算了！
玩手机……
终于结束了
有可能这是我2019看的最不好看的片",https://img3.doubanio.com/icon/u190089910-1.jpg
kiki204629,4,2019-03-07 22:44:49,看了六季终于等到大荧幕的剧场版。人与人之间的羁绊和关怀使这个原本中性的世界多了很多温暖，如果说陪伴是最好的传达爱意的方式，那离别和疏离其实在某种程度上也是，最近忙碌的累成狗，而看完夏目总是一如既往的被治愈感，来的正好。p.s.猫咪老师变小太萌太可爱了，吃货属性稳定发挥；我看的那场不到四分之一的上座率，而且清一色都是女性观众。,https://img3.doubanio.com/icon/u1849663-13.jpg
F&鹿,3,2019-03-07 20:41:32,emmm，怎么说呢，刚刚才从电影院看完回来，有史以来最便宜的电影票，2元一张。觉得画风还是一如既往地好看，最喜欢的就是夏目和萤火之森的画风了。但是剧情不太出彩啊，大概五分吧。如果没有猫咪老师的卖萌，整个电影会很枯燥。,https://img3.doubanio.com/icon/u160972331-1.jpg
奶油公园奇妙夜,5,2019-02-17 09:56:36,我也有一个朋友老是叫我sensei好有带入,https://img1.doubanio.com/icon/u1854660-2287.jpg
scofieldd,4,2019-03-07 21:40:27,7.6分。夏目友人帐的剧场版对普通观众而言还是设置了一些观影门槛的，动漫里的一些设定和人物关系只是一带而过，虽然不影响对剧情的理解，到终究还是差了点东西。,https://img3.doubanio.com/icon/u43548260-2.jpg
半推半就的生活,4,2019-03-07 14:16:57,就算是不惧岁月的大妖怪，最终也无法敌过时间带来的改变，最终一定会改变。,https://img3.doubanio.com/icon/u2099751-170.jpg
小呆猫,4,2019-03-07 19:53:16,三小只的猫咪老师，萌炸了！前面剧情有点拖沓，高潮没有深度刻画，更进一步戳人，前6季中有类似情节的妖怪故事，反而二十分钟讲述地深刻且点到为止…不过我还是不争气地哭了！永远温柔的夏目，最爱的动漫~,https://img3.doubanio.com/icon/u2802337-20.jpg
暗夜的星辰,3,2019-03-08 17:27:55,貓老師分身以後就變得超級無聊，中間睡了一小段。⋯最後貓老師回來了才又有點意思。貓老師真是為導演背了黑鍋，因為貪吃而分裂什麼的，哪裏符合老師性情了哼哼。妥妥的兩話TV版就夠了非要塞成一個劇場，太尷尬了。即使作為貓老師忠粉也只能給三星。跟宮崎駿相差一百條街。,https://img3.doubanio.com/icon/u4022310-76.jpg
