cursor,author,mid,content,ctime,likes,score,final_watch,date
77047423272502,小埋你怎么什么都想学,14990634,拟人化动画 兼具科普性和教育性，赞赞赞,1550152007,0,10,看至第1话,2019-02-14 13:46:47
77047423272502,小伙基的鸡,195765174,其实原来看到这部番的标题没有太大好感，到后面就真香了。因为血小板我才来追这部番的，看完了以后发现真的很好看，轻松愉悦的同时又有教育和感动，尤其是癌细胞那集，还有比较有意思的表现手法，希望大家看。,1550144762,0,10,看至幕后SP,2019-02-14 11:46:02
77047423272502,桵之華,215379579,啊！！！！！香菜！！！,1550119649,0,10,看至第12话,2019-02-14 04:47:29
77047423272502,这里的死侍静悄悄,58631532,超级好看，最爱血小板,1550116990,0,10,看至Special,2019-02-14 04:03:10
77047423272502,贺凌轩,196303572,挺好的,1550113181,0,10,看至第10话,2019-02-14 02:59:41
77047423272502,敲可愛の血小板,45348937,血小板是我的,1550069262,0,10,看至第11话,2019-02-13 14:47:42
77047423272502,悠金香,42825421,赛高,1550056921,0,8,看至幕后SP,2019-02-13 11:22:01
77047423272502,亦素素,3967691,这番真的太棒了！！！！！！,1550043264,0,10,看至第8话,2019-02-13 07:34:24
77047423272502,MC盛夏凉城,98649910,好看就完事了,1550035982,0,10,看至第9话,2019-02-13 05:33:02
77047423272502,dfg65,269446394,简直太棒了！,1550021539,0,10,看至第4话,2019-02-13 01:32:19
77047423272502,上天入地小逗比,32338271,非常喜欢并且推荐这部番剧 将人体细胞生动形象的拟人化 与小科普的结合 与故事更显而易见的展现在观众的眼前 真的很喜欢,1549991000,1,10,看至第13话,2019-02-12 17:03:20
77047423272502,楼下说的对啊,103411537,看完不想受伤了QAQ,1549978863,1,10,看至第1话,2019-02-12 13:41:03
77047423272502,不二嘟,20245151,灰太狼不是标配了，嫁人要嫁白细胞！,1549965299,1,8,看至第8话,2019-02-12 09:54:59
77047423272502,小鱼鱼_,269502313,学了好多知识QAQ,1549970983,0,10,看至Special,2019-02-12 11:29:43
77047423272502,万巧书,11316580,剧情有创意，有时候画面有点贫穷，确实学到了很多高中忘光的知识……,1549969574,0,8,0,2019-02-12 11:06:14
77038833297966,花筱丸,92904501,你我身体里的秘密！人体竟也是个社会，每个细胞和病菌都有人体形态！白细胞、红细胞、血小板……人类细胞的数量，大约有60兆个！他们在人体内不眠不休地各司其职！和侵入体内的细菌、病毒、异物战斗！,1549962560,0,10,看至第2话,2019-02-12 09:09:20
77038833297966,大师级玩家很666,220013947,工作细胞,1549956622,0,10,看至第1话,2019-02-12 07:30:22
77038833297966,空集中,251627861,寓教于乐，赛高！,1549904179,1,10,看至Special,2019-02-11 16:56:19
77038833297966,梅切爾克,26886806,人都应该尽自己的力量  各司其职,1549916543,0,10,看至Special,2019-02-11 20:22:23
77038833297966,爱不解释丶夜未央心未凉,73439092,（即使世界抛弃了你，你身体中的细胞也在时时刻刻工作着）很有意思的科普番，强烈推荐，希望随时都能给我们惊喜（更新一下子）,1549911293,0,10,看至Special,2019-02-11 18:54:53
77038833297966,术辰菌,6055099,真的很好看  墙裂推荐！！！,1549903774,0,10,看至第13话,2019-02-11 16:49:34
77038833297966,矮人曼特裘,71398338,披着萌系外表的科普番,1549902676,0,10,看至Special,2019-02-11 16:31:16
77038833297966,Trico_Explorer,35558797,能把生涩的课程或者专有名词融入到动画里，并且可以有效地使观众们接受，这也许是作为一部科普番最难能可贵的地方吧。看完了有点泪目，原来我身体里还有这么多人（划掉）为我那么辛苦地付出，ありがとう！期待续作～,1549896288,0,10,看至Special,2019-02-11 14:44:48
77038833297966,摸摸头呀,10046343,不错，大家都很可爱ớ ₃ờ,1549895802,0,10,看至Special,2019-02-11 14:36:42
77038833297966,卍乌拉卐,73434450,在看番认老婆的同时还能补补高中生物。,1549891203,0,10,看至Special,2019-02-11 13:20:03
77038833297966,万物皆节操,8586408,好评＼（＠￣∇￣＠）／,1549874406,0,10,看至第3话,2019-02-11 08:40:06
77038833297966,胡同小巷里的猫,12411965,超好看,1549869722,0,10,看至第13话,2019-02-11 07:22:02
77038833297966,樱落花未名,68439095,说个恐怖故事，白细胞会杀死衰老的红细胞,1549868338,0,10,看至第4话,2019-02-11 06:58:58
77038833297966,筱雨cyan,279971990,废话不多说，就希望赶紧出第二季,1549856990,0,10,看至第1话,2019-02-11 03:49:50
